id,name,people,events,filler
0,All Staff,banduca longb4 littlec8 cohend3 cottond shorted2 dfrost asadf mcturnh muhlbeh kuhnsj foxk5 coltonl edlandm krichen millaro jumao vonzimp wysaskt,"2:r, 4:r, 10:r, 12:r, 14:o, 7:r, 21:r, 22:r, 24:r, 30:r",
1,Consultant,cohend3 cottond kuhnsj coltonl wysaskt,"3:r, 5:r, 6:r, 11:r, 13:r, 15:r, 16:r, 17:r, 18:r, 20:r, 23:r, 25:r, 26:r, 27:o, 29:r, 32:o",
2,Server Admin,longb4 foxk5 jumao,"3:r, 5:r, 11:r, 13:r, 15:r, 16:r, 17:r, 18:o, 20:r, 25:r, 26:r, 27:o, 29:r, 32:o",
3,Intern,,"1:r, 8:r, 9:o, 11:r, 13:r, 14:o, 15:r, 16:r, 17:r, 18:r, 19:o, 20:r, 23:r, 25:r, 26:r, 27:o, 28:o, 29:r, 31:o, 32:o",
4,Web Team,littlec8 mcturnh vonzimp,"17:o, 26:o, 33:r, 34:r",
5,Lab Staff,krichen millaro,"17:o, 20:r, 26:o, 33:r, 34:r",
6,Web Developers,banduca shorted2 asadf edlandm,"17:o, 26:o, 33:r, 34:r",
7,Staff living on,shorted2,"0:o, 9:o, 19:o",
